Complexity metrics,Tue, 9 Jan 2018 17:58:18 EST,
Method,ev(G),iv(G),v(G)
it.polimi.deib.p2pchat.discovery.MainActivity.forcedCancelConnect(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getChannel(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getChatManager(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getHandler(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getIntentFilter(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getManager(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getReceiver(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getServiceRequest(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getSocketHandler(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getTAG(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getTabFragment(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getTabNum(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.getToolbar(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.handleMessage(Message),5,15,16
it.polimi.deib.p2pchat.discovery.MainActivity.handleStreamIntent(Intent),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.internalStopDiscovery(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.isBlockForcedDiscoveryInBroadcastReceiver(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.isConnected(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.isDiscoveryStatus(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.isRetryChannel(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.manageAddressMessageReception(P2pDestinationDevice),1,5,5
"it.polimi.deib.p2pchat.discovery.MainActivity.onActivityResult(int,int,Intent)",2,3,3
it.polimi.deib.p2pchat.discovery.MainActivity.onConnectionInfoAvailable(WifiP2pInfo),2,3,3
it.polimi.deib.p2pchat.discovery.MainActivity.onCreate(Bundle),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.onCreateOptionsMenu(Menu),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.onOptionsItemSelected(MenuItem),2,3,6
it.polimi.deib.p2pchat.discovery.MainActivity.onPause(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.onRestart(),1,3,3
it.polimi.deib.p2pchat.discovery.MainActivity.onResume(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.onStop(),1,1,1
it.polimi.deib.p2pchat.discovery.MainActivity.receiveIncomingMessage(byte[]),1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.receiveStream(ByteBuffer,String)",2,6,6
"it.polimi.deib.p2pchat.discovery.MainActivity.receiveStream(byte[],String)",2,5,5
it.polimi.deib.p2pchat.discovery.MainActivity.reconnectToService(WiFiP2pService),1,2,2
it.polimi.deib.p2pchat.discovery.MainActivity.restartDiscovery(),1,1,1
"it.polimi.deib.p2pchat.discovery.MainActivity.sendAddress(String,String,ChatManager)",1,3,3
