Complexity metrics,Tue, 9 Jan 2018 18:03:52 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setmAdapter(WiFiServicesAdapter)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.showLocalDeviceGoIcon()",1,4,4
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder.ViewHolder(View)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder.setOnClickListener(OnClickListener)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.WiFiServicesAdapter(ItemClickListener)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.getDeviceStatus(int)",7,2,7
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.getItemCount()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.onBindViewHolder(ViewHolder,int)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.onCreateViewHolder(ViewGroup,int)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.LocalDeviceDialogFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.onDestroyView()",1,3,3
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.setListener()",1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.ChatManager(Socket,Handler)",1,1,1

Class,OCavg,WMC
"it.polimi.deib.p2pchat.discovery.DestinationDeviceTabList",2.62,21
"it.polimi.deib.p2pchat.discovery.MainActivity",2.00,96
"it.polimi.deib.p2pchat.discovery.RicciTestCases",1.00,1
"it.polimi.deib.p2pchat.discovery.TabFragment",1.00,10
"it.polimi.deib.p2pchat.discovery.TabFragment.SectionsPagerAdapter",1.75,7
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver",1.25,5
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsSdTxtRecordListener",1.00,1
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsServiceResponseListener",4.00,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener",2.67,8
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment",1.41,31
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter",3.50,7
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException",1.00,6
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.Reason",n/a,0
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter",2.00,8
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendListElement",1.00,2
"it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue",1.67,5
"it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice",1.00,4
"it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice",1.00,7
"it.polimi.deib.p2pchat.discovery.services.ServiceList",2.00,14
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService",1.00,6
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment",1.55,17
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice",1.50,3
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter",2.17,13
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder",1.00,2
